  PID   TT  STAT      TIME COMMAND
  484   ??  Ss     0:00.26 /System/Applications/News.app/Contents/PlugIns/NewsTodayIntents.appex/Contents/MacOS/NewsTodayIntents -AppleLanguages ("en-US")
  485   ??  Ss     0:00.19 /usr/sbin/filecoordinationd
  486   ??  S      0:00.34 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
  487   ??  S      0:02.00 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
  489   ??  Ss     0:00.06 /System/Library/CoreServices/iconservicesagent runAsRoot
  490   ??  Ss     0:02.39 /System/Applications/News.app/Contents/PlugIns/NewsToday2.appex/Contents/MacOS/NewsToday2 -AppleLanguages ("en-US")
  492   ??  Ss     0:01.66 /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetExtension.appex/Contents/MacOS/ScreenTimeWidgetExtension -AppleLanguages ("en-US")
  493   ??  Ss     0:00.06 /System/Library/PrivateFrameworks/CalendarWidget.framework/PlugIns/IntentsExtension.appex/Contents/MacOS/IntentsExtension -AppleLanguages ("en-US")
  494   ??  Ss     0:00.54 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
  495   ??  S      0:00.08 /System/Library/CoreServices/pbs
  496   ??  Ss     0:00.38 /System/Library/PrivateFrameworks/CalendarNotification.framework/Versions/A/XPCServices/CalNCService.xpc/Contents/MacOS/CalNCService
  497   ??  Ss     0:00.05 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -s
  498   ??  S      0:00.05 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  499   ??  S      0:00.35 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  500   ??  S      0:00.12 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  501   ??  S      0:01.34 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
  502   ??  S      0:00.11 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  503   ??  S      0:00.46 /usr/libexec/dmd
  504   ??  Ss     0:00.10 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/XPCServices/com.apple.FaceTime.FTConversationService.xpc/Contents/MacOS/com.apple.FaceTime.FTConversationService
  505   ??  S      0:00.14 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  506   ??  S      0:00.24 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
  507   ??  S      0:00.02 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
  508   ??  S      0:00.17 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistorySyncHelper
  510   ??  Ss     0:00.40 /System/Applications/Podcasts.app/Contents/PlugIns/PodcastsWidget.appex/Contents/MacOS/PodcastsWidget -AppleLanguages ("en-US")
  511   ??  Ss     0:00.26 /System/Applications/FindMy.app/Contents/PlugIns/FindMyWidgetItems.appex/Contents/MacOS/FindMyWidgetItems -AppleLanguages ("en-US")
  512   ??  Ss     0:00.13 /System/iOSSupport/System/Library/PrivateFrameworks/MobileTimer.framework/PlugIns/MobileTimerIntents.appex/Contents/MacOS/MobileTimerIntents -AppleLanguages ("en-US")
  513   ??  Ss     0:00.28 /System/Applications/FindMy.app/Contents/PlugIns/FindMyWidgetIntentsPeople.appex/Contents/MacOS/FindMyWidgetIntentsPeople -AppleLanguages ("en-US")
  515   ??  Ss     0:00.44 /System/Applications/Notes.app/Contents/PlugIns/com.apple.Notes.WidgetExtension.appex/Contents/MacOS/com.apple.Notes.WidgetExtension -AppleLanguages ("en-US")
  516   ??  Ss     0:00.16 /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetIntentsExtension.appex/Contents/MacOS/ScreenTimeWidgetIntentsExtension -AppleLanguages ("en-US")
  517   ??  S      0:00.06 /usr/libexec/USBAgent
  518   ??  Ss     0:00.43 /System/Applications/Reminders.app/Contents/PlugIns/RemindersWidgetExtension.appex/Contents/MacOS/RemindersWidgetExtension -AppleLanguages ("en-US")
  519   ??  Ss     0:00.14 /System/Applications/FindMy.app/Contents/PlugIns/FindMyWidgetIntentsItems.appex/Contents/MacOS/FindMyWidgetIntentsItems -AppleLanguages ("en-US")
  520   ??  S      0:00.40 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
  521   ??  Ss     0:02.00 /System/Library/CoreServices/ClimateProxy.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget -AppleLanguages ("en-US")
  522   ??  Ss     0:00.89 /Applications/Safari.app/Contents/PlugIns/SafariWidgetExtension.appex/Contents/MacOS/SafariWidgetExtension -AppleLanguages ("en-US")
  523   ??  Ss     0:00.29 /System/Applications/Notes.app/Contents/PlugIns/com.apple.Notes.IntentsExtension.appex/Contents/MacOS/com.apple.Notes.IntentsExtension -AppleLanguages ("en-US")
  524   ??  S      0:00.36 /System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start
  525   ??  S      0:01.26 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
  526   ??  Ss     0:00.22 /System/Applications/Reminders.app/Contents/PlugIns/RemindersIntentsExtension.appex/Contents/MacOS/RemindersIntentsExtension -AppleLanguages ("en-US")
  527   ??  Ss     0:00.17 /System/Library/CoreServices/ClimateProxy.app/Contents/PlugIns/WeatherIntents.appex/Contents/MacOS/WeatherIntents -AppleLanguages ("en-US")
  528   ??  Ss     0:00.03 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted_helper
  529   ??  S      0:00.08 /usr/libexec/replayd
  530   ??  S      0:00.24 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
  531   ??  S      0:00.10 /System/Library/CoreServices/diagnostics_agent
  532   ??  Ss     0:00.03 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
  533   ??  S      0:00.57 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
  534   ??  Ss     0:00.07 /usr/libexec/aned
  535   ??  S      0:00.03 /System/Library/PrivateFrameworks/GeoServices.framework/geodMachServiceBridge
  536   ??  S      0:00.47 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  537   ??  Ss     0:00.12 /usr/libexec/AssetCache/AssetCache
